TID,Date,Service 1,Service 2,Service 3,Service 4,TotalPrice
10000,27/07/2024,Deodorizing,Waxing,Car Wash,,284000
10001,07/07/2024,Car Wash,Polishing,Tire Replacement,,855000
10002,03/04/2025,Waxing,Polishing,Car Wash,,360000
10003,13/12/2024,Car Wash,Polishing,Tire Replacement,,154000
10004,09/03/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,774000
10005,24/05/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,595000
10006,08/01/2025,Deodorizing,Interior Vacuuming,Car Wash,,285000
10007,14/10/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,103000
10008,06/03/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,438000
10009,30/01/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,368000
10010,19/03/2025,Car Wash,Tire Shine,,,256000
10011,20/12/2024,Car Wash,Underbody Wash,,,760000
10012,30/08/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,255000
10013,24/07/2024,Car Wash,Polishing,Tire Replacement,,276000
10014,23/09/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,168000
10015,05/07/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,294000
10016,23/12/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,677000
10017,26/08/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,414000
10018,07/09/2024,Car Wash,Polishing,Tire Replacement,,590000
10019,10/07/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,535000
10020,03/04/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,282000
10021,18/11/2024,Waxing,Polishing,Car Wash,,623000
10022,07/07/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,373000
10023,26/11/2024,Car Wash,Tire Shine,,,767000
10024,04/11/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,616000
10025,29/12/2024,Car Wash,Tire Shine,,,226000
10026,11/06/2024,Car Wash,Underbody Wash,,,319000
10027,29/01/2025,Car Wash,Polishing,Tire Replacement,,909000
10028,07/02/2025,Car Wash,Underbody Wash,,,236000
10029,04/08/2024,Deodorizing,Waxing,Car Wash,,61000
10030,16/07/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,386000
10031,31/12/2024,Car Wash,Polishing,Tire Replacement,,478000
10032,22/08/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,621000
10033,12/05/2024,Car Wash,Polishing,Tire Replacement,,514000
10034,19/05/2024,Car Wash,Tire Shine,,,56000
10035,09/12/2024,Waxing,Polishing,Car Wash,,910000
10036,01/09/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,651000
10037,20/04/2025,Car Wash,Polishing,Tire Replacement,,679000
10038,30/10/2024,Waxing,Polishing,Car Wash,,685000
10039,24/11/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,276000
10040,19/02/2025,Car Wash,Underbody Wash,,,461000
10041,28/04/2025,Car Wash,Tire Shine,,,724000
10042,27/09/2024,Car Wash,Polishing,Tire Replacement,,74000
10043,21/03/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,639000
10044,12/07/2024,Car Wash,Tire Shine,,,594000
10045,01/04/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,222000
10046,02/07/2024,Car Wash,Underbody Wash,,,60000
10047,23/02/2025,Waxing,Polishing,Car Wash,,628000
10048,10/04/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,423000
10049,12/08/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,290000
10050,13/06/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,274000
10051,30/08/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,358000
